uid,title,aired from,aired to,episodes,members,popularity,ranked,score
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,2019-10-05,,21.0,80237,1355,744.0,7.88
37033,Emiya-san Chi no Kyou no Gohan,2018-01-25,2019-01-01,13.0,59944,1680,743.0,7.88
28999,Charlotte,2015-07-05,2015-09-27,13.0,734250,66,742.0,7.88
388,Capeta,2005-10-04,2006-09-26,52.0,16485,3511,741.0,7.88
9724,Break Blade 5: Shisen no Hate,2011-01-22,,1.0,48642,1934,740.0,7.88
37985,Aggressive Retsuko (ONA) 2nd Season,2019-06-14,,10.0,29059,2645,739.0,7.88
38435,Yao Shen Ji 3rd Season,2018-10-01,2019-02-01,40.0,3343,6783,738.0,7.89
20057,Space☆Dandy,2014-01-05,2014-03-27,13.0,216068,500,737.0,7.89
1172,Slayers Try,1997-04-04,1997-09-26,26.0,42662,2090,736.0,7.89
397,Seikai no Senki II,2001-07-11,2001-09-26,10.0,18367,3331,735.0,7.89
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,1998-08-01,,1.0,45629,2014,734.0,7.89
4080,Kyou kara Maou! 3rd Series,2008-04-03,2009-02-19,39.0,25570,2804,733.0,7.89
11887,Kokoro Connect,2012-07-08,2012-09-30,13.0,498307,135,732.0,7.89
254,Jungle wa Itsumo Hare nochi Guu Deluxe,2002-08-25,2003-01-25,6.0,10497,4248,731.0,7.89
11135,Hybrid Child,2014-10-29,2015-01-28,4.0,48435,1942,730.0,7.89
13119,Hakuouki Movie 2: Shikon Soukyuu,2014-03-08,,1.0,15583,3615,729.0,7.89
29755,Haikyuu!! Movie 1: Owari to Hajimari,2015-07-03,,1.0,31962,2479,728.0,7.89
267,Gungrave,2003-10-07,2004-03-30,26.0,137057,812,727.0,7.89
4872,Goku Sayonara Zetsubou Sensei,2008-10-17,2009-02-17,3.0,51621,1858,726.0,7.89
3665,Ginga Eiyuu Densetsu Gaiden (1999),1999-12-24,2001-06-27,28.0,13321,3845,725.0,7.89
37150,Douluo Dalu,2018-01-20,2018-07-14,26.0,8935,4566,724.0,7.89
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,2009-07-24,,1.0,34345,2372,723.0,7.89
12403,Yuru Yuri♪♪,2012-07-03,2012-09-18,12.0,130757,859,722.0,7.9
39597,Sword Art Online: Alicization - War of Underworld,2019-10-13,2019-12-29,12.0,189943,568,721.0,7.9
15771,Saint☆Oniisan (Movie),2013-05-10,,1.0,56150,1753,720.0,7.9
82,Mobile Suit Gundam 0080: War in the Pocket,1989-03-25,1989-08-25,6.0,36514,2298,719.0,7.9
34745,Mahoujin Guruguru (2017),2017-07-11,2017-12-20,24.0,24706,2880,718.0,7.9
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),2007-12-29,,1.0,164671,670,717.0,7.9
253,Jungle wa Itsumo Hare nochi Guu,2001-04-03,2001-09-25,26.0,27536,2696,716.0,7.9
12413,Jormungand,2012-04-11,2012-06-27,12.0,225965,464,715.0,7.9
5630,Higashi no Eden,2009-04-10,2009-06-19,11.0,398780,214,714.0,7.89
38816,Hello World,2019-09-20,,1.0,21295,3089,713.0,7.9
29787,Gochuumon wa Usagi Desu ka??,2015-10-10,2015-12-26,12.0,80268,1357,712.0,7.9
2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,1992-07-23,1998-01-25,7.0,18602,3310,711.0,7.9
37822,Douluo Dalu 2nd Season,2018-12-01,,,5376,5587,710.0,7.9
4447,Detective Conan Movie 12: Full Score of Fear,2008-04-19,,1.0,30226,2557,709.0,7.9
1505,Detective Conan Movie 09: Strategy Above the Depths,2005-04-09,,1.0,31840,2476,708.0,7.9
1472,City Hunter 3,1989-10-15,1990-01-21,13.0,11650,4061,707.0,7.9
9465,Break Blade 4: Sanka no Chi,2010-10-30,,1.0,50594,1882,706.0,7.9
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),2017-07-12,2017-09-27,12.0,344479,279,705.0,7.91
38349,Wotaku ni Koi wa Muzukashii: Youth,2019-03-29,,1.0,45804,2026,704.0,7.91
17949,The Everlasting Guilty Crown,2012-03-07,,1.0,23109,2979,703.0,7.91
12445,Tasogare Otome x Amnesia,2012-04-09,2012-06-25,12.0,270355,366,702.0,7.91
1254,Saint Seiya,1986-10-11,1989-04-01,114.0,119599,939,701.0,7.91
35073,Overlord II,2018-01-09,2018-04-03,13.0,443731,172,700.0,7.91
597,Neko no Ongaeshi,2002-07-20,,1.0,143647,774,699.0,7.91
569,Musekinin Kanchou Tylor,1993-01-25,1993-07-19,26.0,32091,2462,698.0,7.91
19111,Love Live! School Idol Project 2nd Season,2014-04-06,2014-06-29,13.0,170880,641,697.0,7.91
14349,Little Witch Academia,2013-03-02,,1.0,224526,470,696.0,7.91
4898,Kuroshitsuji,2008-10-03,2009-03-27,24.0,684593,71,695.0,7.91
249,InuYasha (TV),2000-10-16,2004-09-13,167.0,456015,164,694.0,7.91
12893,Danshi Koukousei no Nichijou Specials,2012-04-03,2012-09-04,6.0,84559,1290,693.0,7.91
8142,Colorful (Movie),2010-08-21,,1.0,112488,1003,692.0,7.91
532,Bishoujo Senshi Sailor Moon S,1994-03-19,1995-02-25,38.0,93615,1163,691.0,7.91
21185,Baby Steps,2014-04-06,2014-09-21,25.0,102172,1083,690.0,7.91
890,Yuusha-Ou GaoGaiGar,1997-02-01,1998-01-31,49.0,14623,3700,689.0,7.92
543,Vampire Hunter D (2000),2000-08-25,,1.0,106472,1043,688.0,7.92
949,Top wo Nerae! Gunbuster,1988-10-07,1989-07-07,6.0,84962,1283,687.0,7.92
34504,Seitokai Yakuindomo Movie,2017-07-21,,1.0,30503,2553,686.0,7.92
1729,Maria-sama ga Miteru 3rd,2006-12-29,2007-07-25,5.0,16501,3506,685.0,7.92
8310,Magic Kaito,2010-04-17,2012-12-29,12.0,46449,1991,684.0,7.92
35075,Hoozuki no Reitetsu 2nd Season,2017-10-08,2017-12-31,13.0,28922,2629,683.0,7.92
35678,Hibike! Euphonium Movie 3: Chikai no Finale,2019-04-19,,1.0,22945,2993,682.0,7.92
15809,Hataraku Maou-sama!,2013-04-04,2013-06-27,13.0,808817,55,681.0,7.92
35111,Haikyuu!! Movie 4: Concept no Tatakai,2017-09-29,,1.0,18547,3333,680.0,7.92
7304,Detective Conan Movie 08: Time Travel of the Silver Sky,2004-04-30,,1.0,12856,3905,679.0,7.92
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,2003-04-19,,1.0,33563,2402,678.0,7.92
23225,Yuru Yuri Nachuyachumi!,2015-02-18,,1.0,51557,1863,677.0,7.93
17909,Uchouten Kazoku,2013-07-07,2013-09-29,13.0,120682,936,675.0,7.93
10521,Working'!!,2011-10-01,2011-12-24,13.0,187178,576,676.0,7.93
22319,Tokyo Ghoul,2014-07-04,2014-09-19,12.0,1346036,6,674.0,7.93
400,Seihou Bukyou Outlaw Star,1998-01-09,1998-06-26,24.0,109861,1016,673.0,7.93
9088,Saiyuuki Gaiden,2011-03-25,2011-11-25,3.0,9958,4352,672.0,7.93
33190,Planetarian: Hoshi no Hito,2016-09-03,,1.0,28769,2636,671.0,7.93
20,Naruto,2002-10-03,2007-02-08,220.0,1280914,9,670.0,7.93
33221,Mobile Suit Gundam Thunderbolt: December Sky,2016-06-25,,1.0,11564,4091,669.0,7.93
22097,Magi: Sinbad no Bouken,2014-05-14,2015-07-15,5.0,85390,1281,668.0,7.93
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,1988-02-06,,1.0,25506,2808,667.0,7.93
2890,Gake no Ue no Ponyo,2008-07-19,,1.0,255185,388,666.0,7.93
6702,Fairy Tail,2009-10-12,2013-03-30,175.0,1025353,21,665.0,7.93
2035,Eikoku Koi Monogatari Emma: Molders-hen,2007-04-17,2007-07-03,12.0,17846,3375,664.0,7.93
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",2009-07-01,,1.0,191025,567,663.0,7.93
6377,Zan Sayonara Zetsubou Sensei,2009-07-05,2009-09-27,13.0,77045,1391,661.0,7.94
1485,Akachan to Boku,1996-07-11,1997-03-26,35.0,14014,3772,662.0,7.93
4163,Seto no Hanayome OVA,2008-11-03,2009-01-05,2.0,41807,2115,660.0,7.94
2143,Saiyuuki Reload: Burial,2007-04-28,2008-03-28,3.0,10169,4309,659.0,7.94
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,2009-04-30,,1.0,122036,923,658.0,7.94
25517,Magic Kaito 1412,2014-10-04,2015-03-28,24.0,77076,1394,657.0,7.94
27947,Lupin III (2015),2015-10-02,2016-03-18,24.0,39165,2227,656.0,7.94
1695,Les Misérables: Shoujo Cosette,2007-01-07,2007-12-30,52.0,16991,3462,655.0,7.94
187,Initial D Third Stage,2001-01-13,,1.0,84283,1293,654.0,7.94
14175,Hanasaku Iroha: Home Sweet Home,2013-03-09,,1.0,57037,1727,652.0,7.94
24471,Hoozuki no Reitetsu OVA,2015-02-23,2017-03-23,4.0,12439,3956,653.0,7.94
35110,Haikyuu!! Movie 3: Sainou to Sense,2017-09-15,,1.0,20748,3148,651.0,7.94
35120,Devilman: Crybaby,2018-01-05,,10.0,358644,261,650.0,7.94
779,Detective Conan Movie 01: The Timed Skyscraper,1997-04-19,,1.0,44894,2036,649.0,7.94
10012,Carnival Phantasm,2011-08-14,2011-12-31,12.0,124951,901,648.0,7.94
2605,Sayonara Zetsubou Sensei,2007-07-08,2007-09-23,12.0,247015,407,646.0,7.95
31973,Mobile Suit Gundam Thunderbolt,2015-12-25,2016-04-22,4.0,32861,2441,645.0,7.95
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,2010-01-23,,1.0,25817,2786,644.0,7.95
3572,Macross F,2008-04-04,2008-09-26,25.0,119449,941,643.0,7.95
4280,Kara no Kyoukai 4: Garan no Dou,2008-05-24,,1.0,148452,744,642.0,7.95
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,2005-12-11,,1.0,11574,4075,641.0,7.95
5781,Isekai no Seikishi Monogatari,2009-05-22,2010-05-26,13.0,130797,860,640.0,7.95
10029,Coquelicot-zaka kara,2011-07-16,,1.0,87741,1230,639.0,7.95
38250,Xiao Lu He Xiao Lan,2018-08-27,2019-02-16,72.0,2148,7834,637.0,7.96
16916,Kuroko no Basket: Tip Off,2013-02-22,,1.0,64337,1584,636.0,7.96
7062,Hidamari Sketch x ☆☆☆,2010-01-08,2010-03-26,12.0,21147,3102,635.0,7.96
2623,Flanders no Inu (Movie),1997-03-15,,1.0,14735,3691,634.0,7.96
790,Ergo Proxy,2006-02-25,2006-08-12,23.0,406663,201,633.0,7.96
8408,Durarara!! Specials,2010-08-25,2011-02-23,2.0,134647,835,632.0,7.96
780,Detective Conan Movie 02: The Fourteenth Target,1998-04-18,,1.0,40635,2170,631.0,7.96
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,2015-10-03,,1.0,23435,2953,630.0,7.96
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,2005-10-05,2006-03-29,26.0,71420,1473,629.0,7.97
2158,Terra e... (TV),2007-04-07,2007-09-22,24.0,48728,1931,628.0,7.97
22,Tennis no Ouji-sama,2001-10-10,2005-03-23,178.0,122801,915,627.0,7.97
9926,Sekaiichi Hatsukoi,2011-04-09,2011-06-25,12.0,143425,775,626.0,7.97
26123,Seitokai Yakuindomo* OVA,2014-05-16,2020-09-17,10.0,51889,1850,625.0,7.97
30745,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,2015-03-14,,1.0,32029,2477,624.0,7.97
13767,Junjou Romantica OVA,2012-12-20,2015-12-01,2.0,36264,2306,623.0,7.97
2762,Igano Kabamaru,1983-10-20,1984-03-29,24.0,7752,4815,622.0,7.97
33899,IDOLiSH7,2018-01-07,2018-05-19,17.0,24342,2904,621.0,7.97
967,Hokuto no Ken,1984-10-04,1987-03-05,109.0,79797,1360,620.0,7.97
30415,High☆Speed!: Free! Starting Days,2015-12-05,,1.0,50602,1886,619.0,7.97
11239,Hidamari Sketch x Honeycomb,2012-10-05,2012-12-21,12.0,17569,3406,618.0,7.97
22043,Fairy Tail (2014),2014-04-05,2016-03-26,102.0,537817,115,617.0,7.97
6505,There She Is!!,2003-04-20,2008-12-09,5.0,19234,3255,615.0,7.98
32093,Tanaka-kun wa Itsumo Kedaruge,2016-04-09,2016-06-25,12.0,229884,457,613.0,7.98
6582,Tentai Senshi Sunred 2nd Season,2009-10-03,2010-03-27,26.0,6317,5234,614.0,7.98
114,Sakigake!! Cromartie Koukou,2003-10-03,2004-03-26,26.0,99181,1100,612.0,7.98
85,Mobile Suit Zeta Gundam,1985-03-02,1986-02-22,50.0,45630,2016,611.0,7.98
25649,Junjou Romantica 3,2015-07-09,2015-09-24,12.0,72135,1470,610.0,7.98
996,Bishoujo Senshi Sailor Moon: Sailor Stars,1996-03-09,1997-02-08,34.0,72689,1452,608.0,7.98
6586,Yume-iro Pâtissière,2009-10-04,2010-09-26,50.0,53217,1819,607.0,7.99
3588,Soul Eater,2008-04-07,2009-03-30,51.0,970841,32,606.0,7.99
12815,Shirokuma Cafe,2012-04-05,2013-03-28,50.0,65819,1568,605.0,7.99
24,School Rumble,2004-10-05,2005-03-29,26.0,243964,412,604.0,7.99
17549,Non Non Biyori,2013-10-08,2013-12-24,12.0,240148,422,603.0,7.99
18429,Lupin III vs. Detective Conan: The Movie,2013-12-07,,1.0,18499,3326,602.0,7.99
34451,Kekkai Sensen & Beyond,2017-10-08,2017-12-24,12.0,222920,478,601.0,7.99
13331,Jormungand: Perfect Order,2012-10-10,2012-12-26,12.0,129296,872,600.0,7.99
9289,Hanasaku Iroha,2011-04-03,2011-09-25,26.0,228107,459,599.0,7.99
36370,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,2019-10-25,,4.0,8711,4598,598.0,8.0
3371,Ginga Eiyuu Densetsu Gaiden,1998-02-09,1998-09-26,24.0,15273,3632,597.0,7.99
22961,Date A Live II: Kurumi Star Festival,2014-12-08,,1.0,99057,1110,596.0,7.99
1470,City Hunter,1987-04-06,1988-03-28,51.0,39228,2221,595.0,7.99
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,2019-12-20,,1.0,75929,1408,594.0,7.97
9513,Beelzebub,2011-01-09,2012-03-25,60.0,375105,238,593.0,7.99
28,Yakitate!! Japan,2004-10-12,2006-03-14,69.0,71129,1476,592.0,8.0
38917,Tong Ling Fei,2018-11-30,2019-04-19,16.0,7880,4821,590.0,8.0
793,xxxHOLiC Movie: Manatsu no Yoru no Yume,2005-08-20,,1.0,51666,1856,591.0,8.0
9941,Tiger & Bunny,2011-04-03,2011-09-18,25.0,162364,682,589.0,8.0
11813,Shijou Saikyou no Deshi Kenichi OVA,2012-03-14,2014-05-16,11.0,40361,2177,588.0,8.0
27775,Plastic Memories,2015-04-05,2015-06-28,13.0,465541,156,587.0,8.0
40179,Mini Toji: Yume,2019-05-24,,1.0,534,10935,586.0,8.0
7222,Macross F Movie 2: Sayonara no Tsubasa,2011-02-26,,1.0,22039,3042,585.0,8.0
1088,Macross,1982-10-03,1983-06-26,36.0,71106,1479,584.0,8.0
35857,Lupin III: Part 5,2018-04-04,2018-09-19,24.0,21342,3095,583.0,8.0
387,Haibane Renmei,2002-10-10,2002-12-19,13.0,180467,599,581.0,8.0
1594,Jigoku Shoujo Futakomori,2006-10-07,2007-04-07,26.0,116187,970,582.0,8.0
2924,ef: A Tale of Memories.,2007-10-07,2007-12-23,12.0,202103,534,580.0,8.0
35320,Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,2017-09-13,,1.0,27103,2719,579.0,8.0
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,2012-06-23,,1.0,123559,910,578.0,8.0
34375,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,2017-04-15,,1.0,9399,4460,577.0,8.01
30279,Yuru Yuri San☆Hai!,2015-10-06,2015-12-22,12.0,83403,1310,576.0,8.01
37786,Yagate Kimi ni Naru,2018-10-05,2018-12-28,13.0,126027,900,575.0,8.01
31098,Ushio to Tora (TV) 2nd Season,2016-04-01,2016-06-24,13.0,85447,1282,574.0,8.01
2618,Takarajima,1978-10-08,1979-04-01,26.0,11447,4101,573.0,8.01
20815,Sekaiichi Hatsukoi: Valentine-hen,2014-03-15,,1.0,25044,2854,572.0,8.01
957,Saiunkoku Monogatari,2006-04-08,2007-02-24,39.0,70801,1485,571.0,8.01
2159,Ookiku Furikabutte,2007-04-13,2007-09-28,25.0,71393,1474,570.0,8.01
36215,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,2017-08-26,,1.0,15533,3624,569.0,8.01
25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,2014-08-30,,1.0,52937,1826,568.0,8.01
10721,Mawaru Penguindrum,2011-07-08,2011-12-23,24.0,221240,482,566.0,8.01
36563,Megalo Box,2018-04-06,2018-06-29,13.0,245621,413,567.0,8.01
6774,Kuuchuu Buranko,2009-10-15,2009-12-24,11.0,64443,1582,565.0,8.01
427,Kaleido Star,2003-04-03,2004-03-27,51.0,60584,1655,564.0,8.01
2829,Ie Naki Ko Remy,1996-09-01,1997-03-23,23.0,12590,3933,563.0,8.01
29093,Grisaia no Meikyuu: Caprice no Mayu 0,2015-04-12,,1.0,140846,793,562.0,8.01
10643,Gintama: Dai Hanseikai,2010-03-25,,1.0,23908,2922,560.0,8.01
31339,Drifters,2016-10-07,2016-12-23,12.0,322048,299,557.0,8.01
73,Full Metal Panic! The Second Raid,2005-07-14,2005-10-20,13.0,207982,520,559.0,8.01
6438,Detective Conan OVA 09: The Stranger in 10 Years...,2009-06-17,,1.0,14804,3683,556.0,8.01
23983,Fuichin-san,2004-03-20,,1.0,334,11929,558.0,8.01
29893,Aria The Avvenire,2015-09-26,,3.0,17315,3441,555.0,8.01
35382,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,2017-05-26,,1.0,34459,2374,554.0,8.02
4106,Trigun: Badlands Rumble,2010-04-02,,1.0,98068,1117,553.0,8.02
2752,Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,2007-06-22,2008-01-25,6.0,28443,2647,552.0,8.02
995,Tennis no Ouji-sama: Zenkoku Taikai-hen,2006-03-24,2007-03-23,13.0,34217,2377,551.0,8.02
16395,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,2013-02-04,,1.0,16675,3497,550.0,8.02
339,Serial Experiments Lain,1998-07-06,1998-09-28,13.0,369716,241,549.0,8.02
15689,Nekomonogatari: Kuro,2012-12-31,,4.0,329619,296,548.0,8.02
1089,Macross: Do You Remember Love?,1984-07-07,,1.0,31220,2506,547.0,8.02
40211,Luo Xiao Hei Zhan Ji (Movie),2019-09-07,,1.0,1146,9257,546.0,8.03
7711,Karigurashi no Arrietty,2010-07-17,,1.0,169912,644,545.0,8.02
10080,Kami nomi zo Shiru Sekai II,2011-04-12,2011-06-28,12.0,281867,348,544.0,8.02
27989,Hibike! Euphonium,2015-04-08,2015-07-01,13.0,261912,378,543.0,8.02
7338,Darker than Black: Kuro no Keiyakusha Gaiden,2010-01-27,2010-07-21,4.0,195048,552,541.0,8.02
15,Eyeshield 21,2005-04-06,2008-03-19,145.0,126760,888,542.0,8.02
66,Azumanga Daioh,2002-04-09,2002-10-01,26.0,231367,450,540.0,8.02
11113,Usagi Drop Specials,2011-10-28,2012-01-27,4.0,53221,1816,539.0,8.03
2154,Tekkon Kinkreet,2006-12-23,,1.0,73698,1440,538.0,8.03
28297,Ore Monogatari!!,2015-04-09,2015-09-24,24.0,373132,239,537.0,8.03
30885,Noragami Aragoto OVA,2015-11-17,2016-03-17,2.0,142693,783,536.0,8.03
31251,Mobile Suit Gundam: Iron-Blooded Orphans,2015-10-04,2016-03-27,25.0,129568,876,535.0,8.03
33489,Little Witch Academia (TV),2017-01-09,2017-06-26,25.0,340616,283,534.0,8.03
416,Kurenai no Buta,1992-07-18,,1.0,124150,904,533.0,8.03
5678,Kobato.,2009-10-06,2010-03-23,24.0,123252,914,532.0,8.03
9996,Hyouge Mono,2011-04-07,2012-01-26,39.0,18488,3325,531.0,8.03
645,Hikaru no Go: Hokuto Hai e no Michi,2004-01-03,,1.0,18531,3316,530.0,8.03
21877,High Score Girl,2018-07-14,2018-09-28,12.0,101399,1101,529.0,8.03
122,Full Moon wo Sagashite,2002-04-06,2003-03-29,52.0,80316,1353,527.0,8.03
